[3] శకుంతల  || [686] శకుంతల 
[4] చింతామణి  || [308] చింతామణి 
[5] పృధ్వీపుత్ర  || no matches
[6] రామదాసు  || [7] రామదాసు 
[7] రామదాసు  || [6] రామదాసు 
[8] సావిత్రి || [9] సావిత్రి, [2401] స్రవంతి
[9] సావిత్రి || [8] సావిత్రి, [2401] స్రవంతి
[10] అహల్య  || no matches
[11] లవకుశ  || no matches
[12] సీతాకళ్యాణం  || no matches
[13] అనసూయ || [20] అనసూయ
[14] కుచేల  || no matches
[15] కృష్ణ తులాభారం || no matches
[16] రాణి ప్రేమలత  || no matches
[17] శ్రీకృష్ణ లీలలు || no matches
[18] సక్కుబాయి || no matches
[19] హరిశ్చంద్ర  || [323] హరిశ్చంద్ర 
[20] అనసూయ || [13] అనసూయ
[21] కబీర్  || no matches
[22] ద్రౌపదీ మానసంరక్షణం || no matches
[23] ద్రౌపదీ వస్త్రాపహరణం || no matches
[24] ప్రేమవిజయం || no matches
[25] మాయా బజార్  || no matches
[26] మోహినీ భస్మాసుర  || no matches
[27] లంకాదహనం || no matches
[28] వీరాభిమన్యు  || no matches
[29] సంపూర్ణ రామాయణం  || [1002] సంపూర్ణ రామాయణం 
[30] సతీ తులసి  || [413] సతీ తులసి , [740] సతీ తులసి 
[31] సులోచన  || [3608] సంచలనం 
[32] కనకతార  || no matches
[33] తుకారాం || no matches
[34] దశావతారాలు || no matches
[35] నరనారాయణ || no matches
[36] బాల యోగిని || no matches
[37] మోహినీ రుక్మాంగద  || [536] మోహినీ రుక్మాంగద 
[38] విజయదశమి  || no matches
[39] విప్రనారాయణ  || no matches
[40] సారంగధర  || no matches
[41] కచ దేవయాని || no matches
[42] కాసుల పేరు || no matches
[43] గులేబకావళి || no matches
[44] గృహలక్ష్మి  || [704] గృహలక్ష్మి , [2117] గృహలక్ష్మి 
[45] చల్‌ మోహనరంగా || [1476] చల్ మోహనరంగా
[46] చిత్రనళీయం || no matches
[47] జరాసంధ || no matches
[48] భక్త జయదేవ || no matches
[49] మార్కండేయ || no matches
[50] మాల పిల్ల || [1111] పూల మాల
[51] మాలపిల్ల || no matches
